QDM Type,Data Element Valueset,Attribute,Attribute Valueset,Measure
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1436,relevantPeriod,,CMS132v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1439,relevantPeriod,,CMS132v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1429,relevantPeriod,,CMS132v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1437,relevantPeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1425,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1427,prevalencePeriod,,CMS132v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1408,relevantPeriod,,CMS132v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1422,relevantPeriod,,CMS132v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1440,relevantPeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1241,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1415,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1416,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1413,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1433,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1438,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1405,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1430,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1414,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1426,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1409,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1412,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1420,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1410,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1432,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1445,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1421,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1424,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1444,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1407,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1406,prevalencePeriod,,CMS132v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1558,prevalencePeriod,,CMS132v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1411,relevantPeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1423,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1417,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1419,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1418,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1427,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1430,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1409,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1410,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1454,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1432,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1424,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1241,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1416,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1473,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1444,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1480,prevalencePeriod,,CMS133v7
QDM::PhysicalExamPerformed,419775003,relevantPeriod,,CMS133v7
QDM::PhysicalExamPerformed,419775003,result,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1481,prevalencePeriod,,CMS133v7
QDM::PhysicalExamPerformed,419775003,result,2.16.840.1.113883.3.526.3.1483,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1467,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1448,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1415,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1478,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1482,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1479,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1477,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1461,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1450,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1462,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1469,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1470,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1474,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1475,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1460,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1468,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1465,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1464,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1463,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1472,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1453,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1459,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1455,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.327,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1458,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1451,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1457,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1452,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1471,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1449,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1446,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1428,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1466,prevalencePeriod,,CMS133v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1476,prevalencePeriod,,CMS133v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS135v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1012,relevantPeriod,,CMS135v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1012,relevantPeriod,,CMS135v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1014,relevantPeriod,,CMS135v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1008,relevantPeriod,,CMS135v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1016,relevantPeriod,,CMS135v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1007,relevantPeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.376,prevalencePeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1090,prevalencePeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1090,relevantPeriod,,CMS135v7
QDM::DiagnosticStudyPerformed,2.16.840.1.113883.3.526.3.1134,result,,CMS135v7
QDM::DiagnosticStudyPerformed,2.16.840.1.113883.3.526.3.1134,prevalencePeriod,,CMS135v7
QDM::DiagnosticStudyPerformed,2.16.840.1.113883.3.526.3.1134,relevantPeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,severity,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,severity,2.16.840.1.113883.3.526.3.1092,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,severity,2.16.840.1.113883.3.526.3.1092,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,prevalencePeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,relevantPeriod,,CMS135v7
QDM::MedicationActive,2.16.840.1.113883.3.526.3.1139,relevantPeriod,,CMS135v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1139,authorDatetime,,CMS135v7
QDM::AllergyIntolerance,2.16.840.1.113883.3.526.3.1489,prevalencePeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1211,prevalencePeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1212,prevalencePeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.378,prevalencePeriod,,CMS135v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1139,negationRationale,2.16.840.1.113883.3.526.3.1008,CMS135v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1139,negationRationale,2.16.840.1.113883.3.526.3.1008,CMS135v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1139,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS135v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1139,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1151,prevalencePeriod,,CMS135v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1139,negationRationale,2.16.840.1.113883.3.526.3.1009,CMS135v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1139,negationRationale,2.16.840.1.113883.3.526.3.1009,CMS135v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS135v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1012,relevantPeriod,,CMS135v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1012,relevantPeriod,,CMS135v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1014,relevantPeriod,,CMS135v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1008,relevantPeriod,,CMS135v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1016,relevantPeriod,,CMS135v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1007,relevantPeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.376,prevalencePeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1090,prevalencePeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1090,relevantPeriod,,CMS135v7
QDM::DiagnosticStudyPerformed,2.16.840.1.113883.3.526.3.1134,result,,CMS135v7
QDM::DiagnosticStudyPerformed,2.16.840.1.113883.3.526.3.1134,prevalencePeriod,,CMS135v7
QDM::DiagnosticStudyPerformed,2.16.840.1.113883.3.526.3.1134,relevantPeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,severity,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,severity,2.16.840.1.113883.3.526.3.1092,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,severity,2.16.840.1.113883.3.526.3.1092,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,prevalencePeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,relevantPeriod,,CMS135v7
QDM::MedicationActive,2.16.840.1.113883.3.526.3.1139,relevantPeriod,,CMS135v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1139,authorDatetime,,CMS135v7
QDM::AllergyIntolerance,2.16.840.1.113883.3.526.3.1489,prevalencePeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1211,prevalencePeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1212,prevalencePeriod,,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.378,prevalencePeriod,,CMS135v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1139,negationRationale,2.16.840.1.113883.3.526.3.1008,CMS135v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1139,negationRationale,2.16.840.1.113883.3.526.3.1008,CMS135v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1139,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS135v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1139,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS135v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1151,prevalencePeriod,,CMS135v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1139,negationRationale,2.16.840.1.113883.3.526.3.1009,CMS135v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1139,negationRationale,2.16.840.1.113883.3.526.3.1009,CMS135v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1285,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1492,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1496,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1016,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1011,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1141,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1027,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1025,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1240,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1030,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1026,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1023,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1245,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1020,relevantPeriod,,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,authorDatetime,,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,result,2.16.840.1.113883.3.526.3.1170,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,result,,CMS138v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.509,relevantPeriod,,CMS138v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1259,prevalencePeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1529,relevantPeriod,,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.509,authorDatetime,,CMS138v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.509,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.509,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1190,authorDatetime,,CMS138v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1190,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1190,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1530,relevantPeriod,,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,result,2.16.840.1.113883.3.526.3.1189,CMS138v7
QDM::MedicationActive,2.16.840.1.113883.3.526.3.1190,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1285,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1492,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1496,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1016,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1011,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1141,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1027,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1025,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1240,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1030,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1026,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1023,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1245,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1020,relevantPeriod,,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,authorDatetime,,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,result,2.16.840.1.113883.3.526.3.1170,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,result,,CMS138v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.509,relevantPeriod,,CMS138v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1259,prevalencePeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1529,relevantPeriod,,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.509,authorDatetime,,CMS138v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.509,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.509,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1190,authorDatetime,,CMS138v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1190,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1190,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1530,relevantPeriod,,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,result,2.16.840.1.113883.3.526.3.1189,CMS138v7
QDM::MedicationActive,2.16.840.1.113883.3.526.3.1190,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1285,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1492,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1496,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1016,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1011,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1141,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1027,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1025,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1240,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1030,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1026,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1023,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1245,relevantPeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1020,relevantPeriod,,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,authorDatetime,,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,result,2.16.840.1.113883.3.526.3.1170,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,result,,CMS138v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.509,relevantPeriod,,CMS138v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1259,prevalencePeriod,,CMS138v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1529,relevantPeriod,,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1278,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.509,authorDatetime,,CMS138v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.509,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS138v7
