OID,ValueSetName,ExpansionVersion,CodeSystemName,CodeSystemVersion,CodeSystemOID,Purpose
2.16.840.1.113883.3.526.3.1241,Acute and Subacute Iridocyclitis,eCQM Update 2018-09-17,ICD10CM,2019,2.16.840.1.113883.6.90,"(Clinical Focus: This value set contains concepts that represent a diagnosis of acute and subacute iridocyclitis.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis.),(Inclusion Criteria: Includes only relevant concepts associated with a diagnosis of acute and subacute iridocyclitis, including primary and secondary iridocyclitis, and hypopyon.),(Exclusion Criteria: Excludes concepts that pertain to 'unspecified eye.')"
2.16.840.1.113883.3.666.5.3022,Acute or Evolving MI,eCQM Update 2018-09-17,ICD10CM,2019,2.16.840.1.113883.6.90,"(Clinical Focus: This value set contains concepts that represent diagnoses used to identify patients with an acute or evolving myocardial infarction.),(Data Element Scope: This value set may use the Quality Data Model (QDM) attribute related to Result. The intent of this data element is to identify patients with an acute or evolving myocardial infarction. ),(Inclusion Criteria: Includes only relevant concepts associated with codes that identify patients with an acute or evolving myocardial infarction. This is a grouping of ICD-10-CM and SNOMED CT codes.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.600.1542,Additional evaluation for depression - adolescent,eCQM Update 2018-09-17,SNOMEDCT,2018-03,2.16.840.1.113883.6.96,"(Clinical Focus: This value set contains concepts that represent interventions and procedures where an adolescent patient received additional evaluation to determine the presence of depression.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Intervention or Procedure.),(Inclusion Criteria: Includes only relevant concepts associated with psychiatric interview and evaluations used to determine the presence of depression, bipolar, or other mental health diagnoses.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.600.1545,Additional evaluation for depression - adult,eCQM Update 2018-09-17,SNOMEDCT,2018-03,2.16.840.1.113883.6.96,"(Clinical Focus: This value set contains concepts that represent interventions and procedures where an adult patient received additional evaluation to determine the presence of depression.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Intervention or Procedure.),(Inclusion Criteria: Includes only relevant concepts associated with psychiatric interview and evaluation for testamentary capacity, rehabilitation, criminal responsibility, bipolar disorder and mental status.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.526.3.1405,Adhesions and Disruptions of Iris and Ciliary Body,eCQM Update 2018-09-17,ICD10CM,2019,2.16.840.1.113883.6.90,"(Clinical Focus: This value set contains concepts that represent a diagnosis of adhesions and disruptions of the iris and ciliary body.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis.),(Inclusion Criteria: Includes only relevant concepts associated with a diagnosis of synechiae, iridodialysis, pupillary membranes or abnormalities, and other syndromes of the iris or ciliary body.),(Exclusion Criteria: Excludes concepts that pertain to 'unspecified eye.' )"
2.16.840.1.113883.3.464.1003.101.12.1065,Adult Outpatient Visit,eCQM Update 2018-09-17,CPT,2018,2.16.840.1.113883.6.12,"(Clinical Focus: This value set contains concepts that represent office or other outpatient visits, including home visits.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Encounter.),(Inclusion Criteria: Includes only relevant concepts associated with comprehensive history, evaluation, and management of a patient in an office or outpatient facility. Patient can be presenting with problems that are minor to high severity.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.464.1003.106.12.1001,Alcohol and Drug Dependence,eCQM Update 2018-09-17,ICD10CM,2019,2.16.840.1.113883.6.90,"(Clinical Focus: This value set contains concepts that represent alcohol and drug dependence.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis. ),(Inclusion Criteria: Includes only relevant concepts associated with alcohol and drug abuse and dependence. This is a grouping of ICD-10CM and SNOMED CT codes.),(Exclusion Criteria: Excludes codes related to alcohol and drug use.)"
2.16.840.1.113883.3.464.1003.106.12.1005,Alcohol and Drug Dependence Treatment,eCQM Update 2018-09-17,SNOMEDCT,2018-03,2.16.840.1.113883.6.96,"(Clinical Focus: This value set contains concepts that represent treatment for alcohol and drug dependence.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Encounter.),(Inclusion Criteria: Includes only relevant concepts associated with assessment, management, and both psychosocial and pharmacological treatment of alcohol and drug dependence. This is a grouping of SNOMED CT codes.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.526.3.1211,Allergy to ACE Inhibitor or ARB,eCQM Update 2018-09-17,SNOMEDCT,2018-03,2.16.840.1.113883.6.96,"(Clinical Focus: This value set contains concepts that represent a diagnosis of allergy to angiotensin-converting enzyme (ACE) inhibitor and angiotensin-receptor blocker (ARB).),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis.),(Inclusion Criteria: Includes only relevant concepts associated with a diagnosis of allergy to ACE inhibitor or ARB.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.526.3.1177,Allergy to Beta Blocker Therapy,eCQM Update 2018-09-17,SNOMEDCT,2018-03,2.16.840.1.113883.6.96,"(Clinical Focus: This value set contains concepts that represent a diagnosis of allergy to beta blocker therapy.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis.),(Inclusion Criteria: Includes only relevant concepts associated with a diagnosis of allergy to beta blocker therapy.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.526.3.1253,Allergy to Eggs,eCQM Update 2018-09-17,ICD10CM,2019,2.16.840.1.113883.6.90,"(Clinical Focus: This value set contains concepts that represent a diagnosis of an allergy to eggs.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis.),(Inclusion Criteria: Includes only relevant concepts associated with a diagnosis of allergy to eggs.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.526.3.1256,Allergy to Influenza Vaccine,eCQM Update 2018-09-17,SNOMEDCT,2018-03,2.16.840.1.113883.6.96,"(Clinical Focus: This value set contains concepts that represent a diagnosis of an allergy to influenza vaccines.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis.),(Inclusion Criteria: Includes only relevant concepts associated with a diagnosis of allergy to influenza vaccines.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.526.3.1448,Amblyopia,eCQM Update 2018-09-17,ICD10CM,2019,2.16.840.1.113883.6.90,"(Clinical Focus: This value set contains concepts that represent a diagnosis of amblyopia.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis.),(Inclusion Criteria: Includes only relevant concepts associated with a diagnosis of amblyopia, including suspected amblyopia.),(Exclusion Criteria: Excludes concepts that pertain to 'unspecified eye.' )"
2.16.840.1.113883.3.464.1003.122.12.1003,Ambulatory,eCQM Update 2018-09-17,SNOMEDCT,2018-03,2.16.840.1.113883.6.96,"(Clinical Focus: This value set contains concepts that represent encounters in an ambulatory setting.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category or attribute related to Encounter.),(Inclusion Criteria: Includes only relevant concepts associated with care in an ambulatory setting.),(Exclusion Criteria: Excludes patients who had ambulatory hospice care.)"
2.16.840.1.113883.3.464.1003.118.11.1219,Ambulatory Status,eCQM Update 2018-09-17,LOINC,2.64,2.16.840.1.113883.6.1,"(Clinical Focus: This value set contains concepts that represent assessment of gait or balance to identify risk factors for falls.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Assessment, Performed.),(Inclusion Criteria: Includes only relevant concepts associated with all gait and balance assessment tools such as the Morse Fall Scale and the Parkinson's Unified Parkinson’s Disease Rating Scale. This is an extensional value set of LOINC codes.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.666.5.687,Ambulatory surgical center,eCQM Update 2018-09-17,SNOMEDCT,2018-03,2.16.840.1.113883.6.96,"(Clinical Focus: This value set contains concepts that represent an environment type used to identify an ambulatory surgical center.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category Encounter or attribute Admission Source. The intent of this data element is to identify an environment type that defines an ambulatory surgical center. ),(Inclusion Criteria: Includes only relevant concepts associated with ambulatory surgical centers.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.464.1003.101.12.1061,Ambulatory/ED Visit,eCQM Update 2018-09-17,CPT,2018,2.16.840.1.113883.6.12,"(Clinical Focus: This value set contains concepts that represent patients who have had an interaction with a member of their medical care team in the emergency department or an ambulatory care setting.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Encounter.),(Inclusion Criteria: Includes only relevant concepts associated with care provided to new and established patients in the emergency department or ambulatory care setting. Includes only relevant concepts associated with ED, home health, in-office, and observation visits. This is a value set grouping that contains CPT and SNOMED CT codes.),(Exclusion Criteria: Excludes encounters that occurred in the inpatient setting.)"
2.16.840.1.113883.3.464.1003.196.12.1286,Amitriptyline  /  Chlordiazepoxide,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent amitriptyline / chlordiazepoxide combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; amitriptyline / chlordiazepoxide (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; amitriptyline / chlordiazepoxide in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1428,Amitriptyline / Perphenazine,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent amitriptyline / perphenazine combination medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; amitriptyline / perphenazine (combination medication).),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; amitriptyline / perphenazine in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1373,Amitriptyline Hydrochloride,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent amitriptyline hydrochloride medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; amitriptyline hydrochloride only.),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; amitriptyline hydrochloride in combination with other medications.)"
2.16.840.1.113883.3.464.1003.196.12.1273,Amoxapine,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent amoxapine medications.),(Data Element Scope: This value set may use the Quality Data Model (QDM) datatype related to Medication, Ordered.),(Inclusion Criteria: Includes only relevant concepts associated with semantic clinical drugs; generic; human use only; prescribable; amoxapine only.),(Exclusion Criteria: Excludes branded drugs; components or ingredient only; non-prescribable; amoxapine in combination with other medications.)"
2.16.840.1.113883.3.464.1003.199.12.1032,Anaphylactic Reaction to Common Baker's Yeast,eCQM Update 2018-09-17,SNOMEDCT,2018-03,2.16.840.1.113883.6.96,"(Clinical Focus: This value set contains concepts that represent a history of an anaphylactic (extreme allergy) reaction to baker's yeast.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis. ),(Inclusion Criteria: Includes only relevant concepts associated with an anaphylactic reaction to baker's yeast.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.464.1003.199.12.1031,Anaphylactic Reaction to DTaP Vaccine,eCQM Update 2018-09-17,SNOMEDCT,2018-03,2.16.840.1.113883.6.96,"(Clinical Focus: This value set contains concepts that represent a history of an anaphylactic (extreme allergy) reaction to DTaP (diphtheria, tetanus, and acellular pertussis) vaccine.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis. ),(Inclusion Criteria: Includes only relevant concepts associated with an anaphylactic reaction to DTaP vaccine.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.464.1003.199.12.1026,Anaphylactic Reaction to Hepatitis A Vaccine,eCQM Update 2018-09-17,SNOMEDCT,2018-03,2.16.840.1.113883.6.96,"(Clinical Focus: This value set contains concepts that represent a history of an anaphylactic (extreme allergy) reaction to hepatitis A vaccine.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis. ),(Inclusion Criteria: Includes only relevant concepts associated with an anaphylactic reaction to hepatitis A vaccine.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113762.1.4.1151.48,Androgen deprivation therapy for Urology Care,eCQM Update 2018-09-17,RXNORM,2018-07,2.16.840.1.113883.6.88,"(Clinical Focus: This value set contains concepts that represent androgen deprivation therapy as identified for urology care.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Medication. This data element is to list androgen deprivation therapy for urology care for prostate cancer.),(Inclusion Criteria: Includes only relevant concepts associated with androgen deprivation therapy medications.),(Exclusion Criteria: No exclusions.)"
2.16.840.1.113883.3.464.1003.113.12.1045,Ankylosing Spondylitis,eCQM Update 2018-09-17,ICD10CM,2019,2.16.840.1.113883.6.90,"(Clinical Focus: This value set contains concepts that represent a diagnosis of ankylosing spondylitis.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Diagnosis. ),(Inclusion Criteria: Includes only relevant concepts associated with ankylosing spondylitis with comorbidities and associated system involvement. This is a grouping of ICD-9-CM, ICD-10-CM and SNOMED CT codes.),(Exclusion Criteria: Excludes all diagnosis codes associated with juvenile ankylosing spondylitis.)"
2.16.840.1.113883.3.526.2.1363,Annual Wellness Visit,eCQM Update 2018-09-17,HCPCS,2018,2.16.840.1.113883.6.285,"(Clinical Focus: This value set contains concepts that represent annual wellness visits.),(Data Element Scope: This value set may use the Quality Data Model (QDM) category related to Encounter. The intent of this data element is to identify patients who have had an annual wellness visit. ),(Inclusion Criteria: Includes only relevant concepts associated with encounters specific to annual wellness visits.),(Exclusion Criteria: No exclusions.)"
