title,description
"Individual Characteristic","Individual Characteristic represents specific factors about a patient, clinician, provider, or facility. Included are demographics, behavioral factors, social or cultural factors, available resources, and preferences. Behaviors reference responses or actions that affect (either positively or negatively) health or healthcare. Included in this category are mental health issues, adherence issues unrelated to other factors or resources, coping ability, grief issues, and substance use/abuse. Social/cultural factors are characteristics of an individual related to family/caregiver support, education, and literacy (including health literacy), primary language, cultural beliefs (including health beliefs), persistent life stressors, spiritual and religious beliefs, immigration status, and history of abuse or neglect. Resources are means available to a patient to meet health and healthcare needs, which might include caregiver support, insurance coverage, financial resources, and community resources to which the patient is already connected and from which the patient is receiving benefit. Preferences are choices made by patients and their caregivers relative to options for care or treatment (including scheduling, care experience, and meeting of personal health goals) and the sharing and disclosure of their health information."
"Intervention","<p>Intervention represents a course of action intended to achieve a result in the care of persons with health problems that does not involve direct physical contact with a patient. Examples include patient education and therapeutic communication.</p><p>Note that while the QDM categories Intervention and Procedure are modeled identically and interoperability standards do not differentiate between them, both are retained in the QDM as they are more clinically expressive for clinicians to understand the measure intent.</p>"
"Laboratory Test","Laboratory Test represents a medical procedure that involves testing a sample of blood, urine, or other substance from the body. Tests can help determine a diagnosis, plan treatment, check to see if treatment is working, or monitor the disease over time. The QDM data category Laboratory Test is only used for information about the subject of record."
"Medication","Medication represents clinical drugs or chemical substances intended for use in the medical diagnosis, cure, treatment, or prevention of disease. Medications are defined as directly referenced values or value sets containing values derived from code systems such as RxNorm."
"Participation","Participation represents a patient's coverage by a program such as an insurance or medical plan or a payment agreement. Such programs can include patient-centered medical home, disease-specific programs, etc."
"Physical Exam","Physical Exam represents the evaluation of the patient's body and/or mental status to determine its state of health. The techniques of examination can include palpation (feeling with the hands or fingers), percussion (tapping with the fingers), auscultation (listening), visual inspection or observation, inquisition and smell. Measurements may include vital signs (blood pressure, pulse, respiration) as well as other clinical measures (such as expiratory flow rate and size of lesion). In the context of quality measurement, the physical exam category is also used to represent calculations based upon measurements (such as body mass index [BMI]). Physical exam includes psychiatric examinations."
"Procedure","Procedure is derived directly from HL7 and Canada Health Infoway: 'An Act whose immediate and primary outcome (post-condition) is the alteration of the physical condition of the subject. ...Procedure is but one among several types of clinical activities such as observation, substance-administrations, and communicative interactions ... Procedure does not comprise all acts of <em>[sic]</em> whose intent is intervention or treatment.' A procedure may be a surgery or other type of physical manipulation of a person's body in whole or in part for purposes of making observations and diagnoses or providing treatment."
"Related Person","<p>A ""Related Person"" typically has a personal or non-healthcare-specific professional relationship to the patient. A ""Related Person"" QDM datatype is primarily used to reference another person involved with the patient""s care or as a source to gain information about the patient. Some individuals may serve as both an activity performer (i.e., referenced as the Care Partner entity), and a ""Related Person"" (i.e., the individual from whose record clinical information should be retrieved to support care provided to a patient). The QDM datatype, ""Related Person"", references the latter. <ul style=""list-style-type: ""- "";""><li>Example ""Related Persons"" are a patient""s mother, father, spouse, partner, relatives, friends, a neighbor bringing a patient to the hospital, or a patient""s attorney or guardian.</li></ul> An example to describe usage of the ""Related Person"" QDM datatype is to determine clinical information about a newborn infant""s mother. In this hypothetical example, a measure might want to evaluate gestational age at the time of birth. One method is to expect entry on the infant""s record of an observation question about gestational age at the time of birth requesting the estimated due date such that it can be compared with the actual birth date. That method uses the QDM datatype ""Assessment, Performed"" to request the estimated due date. However, to be able to directly reference the mother""s record for the estimated due date requires the QDM datatype ""Related Person"". This datatype enables authors to reference information from other data items as appropriate.</p><p>Specifically, for a ""Related Person"", the eCQM should be tested to determine if the index patient""s record can access information from the record of the expected related person. Some feedback suggests that a patient""s record may have a link to another inpatient record (e.g., an infant""s chart might have a link to the mother""s chart), but it is not clear that codified information from the related person can be accessed. In previous versions of QDM, such information had to be referenced as an observation related to the patient that is the subject of the measure ""Assessment, Performed"" is used to reference such an observation and QDM 5.5 retains that same capability.</p>"
"Substance","<p>Substance represents a homogeneous material with definite composition that includes allergens, biological materials, chemicals, foods, drugs, and materials. QDM distinguishes between medications from non-medication substances by separately listing medication datatypes. Substance may or may not have a code or be classified by a code system such RxNorm. Examples of a substance may include environmental agents (e.g., pollen, dust) and food (e.g., vitamins).</p><p>Measure developers have considered the use of the QDM substance category in light of alignment with existing interoperability data standards. Two use cases require further investigation and effort in the HL7 FHIR realm:</p><p><strong>Nutrition [Considerations for Future Use]</strong><br/>The nutrition mappings from QDM to FHIR resources require continued effort as of the printing of this QDM 5.5 version. The FHIR NutritionOrder Resource is a record of the request for the supply of a diet, oral supplement or enteral formulas for a patient, and thus allow specification of a complete diet order, but not an order for an individual nutrient. The NutritionOrder resource is currently at a low maturity level (i.e., it has had limited testing). Therefore, for the current QDM 5.5 reference, substance is modeled similarly to medications.</p><p><strong>Blood Products [Considerations for Future Use]</strong><br/> The HL7 FHIR version 4.0 resource for blood products allow specification of the blood product as a biologically derived product, but specification for how such products are administered remains in development. Therefore, for the current QDM 5.5 reference, blood product administration can be managed using QDM datatypes “Procedure, Performed” or “Substance, Administered” based on measure developer findings during measure implementation testing.</p>"
"Symptom","Symptom represents an indication that a person has a condition or disease. Some examples are headache, fever, fatigue, nausea, vomiting, and pain. Also, symptoms are subjective manifestations of the disease perceived by the patient. As an example to differentiate symptom from finding, the patient's subjective symptom of fever is distinguished from the temperature (a finding). A finding could reference a temperature-measuring device and a recorder. The recorder could be the device (with electronic data capture) or an individual (healthcare provider, patient, etc.). Note that while many symptoms are entered as findings as part of assessments and, therefore, may not be included in a specific EHR ""symptom"" section, QDM 5.5 retains the QDM datatype, ""Symptom"", for clarity of expression in the human readable eCQM."
"Entities","There are four QDM entities including definitions, attributes, type of information used and cardinality. Cardinality refers to the number of instances of the attribute that can be included in the measure description or the performance report (e.g., only once, or multiple times). Note that cardinality for Entity attributes is 0..1 (i.e., not required to be present and can occur up to 1 time)."
